timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1658436304212,197,Get Users,200,OK,Thread Group 1-1,text,true,,136522,216,35,35,http://127.0.0.1:5000/api/Users/,193,0,62
1658436304212,459,Get Users,200,OK,Thread Group 1-13,text,true,,136522,216,62,62,http://127.0.0.1:5000/api/Users/,459,0,63
1658436304212,597,Get Users,200,OK,Thread Group 1-12,text,true,,136522,216,75,75,http://127.0.0.1:5000/api/Users/,597,0,62
1658436304212,707,Get Users,200,OK,Thread Group 1-4,text,true,,136522,216,86,86,http://127.0.0.1:5000/api/Users/,701,0,62
1658436304212,723,Get Users,200,OK,Thread Group 1-5,text,true,,136522,216,88,88,http://127.0.0.1:5000/api/Users/,722,0,63
1658436304212,783,Get Users,200,OK,Thread Group 1-10,text,true,,136522,216,94,94,http://127.0.0.1:5000/api/Users/,783,0,63
1658436304212,786,Get Users,200,OK,Thread Group 1-11,text,true,,136522,216,95,95,http://127.0.0.1:5000/api/Users/,785,0,63
1658436304212,800,Get Users,200,OK,Thread Group 1-7,text,true,,136522,216,96,96,http://127.0.0.1:5000/api/Users/,800,0,63
1658436304212,838,Get Users,200,OK,Thread Group 1-14,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,838,0,64
1658436304217,858,Get Users,200,OK,Thread Group 1-15,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,858,0,59
1658436304212,888,Get Users,200,OK,Thread Group 1-2,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,888,0,63
1658436304212,891,Get Users,200,OK,Thread Group 1-3,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,890,0,64
1658436304212,891,Get Users,200,OK,Thread Group 1-6,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,891,0,64
1658436304212,956,Get Users,200,OK,Thread Group 1-9,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,955,0,64
1658436304272,912,Get Users,200,OK,Thread Group 1-16,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,912,0,11
1658436304212,1071,Get Users,200,OK,Thread Group 1-8,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,1071,0,64
1658436304284,1001,Get Users,200,OK,Thread Group 1-17,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,1001,0,2
1658436304287,1054,Get Users,200,OK,Thread Group 1-19,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,1054,0,4
1658436304292,1110,Get Users,200,OK,Thread Group 1-20,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,1109,0,2
1658436304296,1200,Get Users,200,OK,Thread Group 1-22,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,1199,0,1
1658436304288,1285,Get Users,200,OK,Thread Group 1-18,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,1285,0,1
1658436304295,1347,Get Users,200,OK,Thread Group 1-21,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,1346,0,3
1658436304302,1402,Get Users,200,OK,Thread Group 1-23,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,1402,0,2
1658436304303,1440,Get Users,200,OK,Thread Group 1-24,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,1440,0,1
1658436304308,1440,Get Users,200,OK,Thread Group 1-25,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,1440,0,1
1658436304318,1476,Get Users,200,OK,Thread Group 1-26,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,1476,0,3
1658436304336,1520,Get Users,200,OK,Thread Group 1-28,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,1520,0,2
1658436304327,1579,Get Users,200,OK,Thread Group 1-27,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,1579,0,1
1658436304354,1606,Get Users,200,OK,Thread Group 1-30,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,1606,0,1
1658436304348,1688,Get Users,200,OK,Thread Group 1-29,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,1687,0,2
1658436304386,1713,Get Users,200,OK,Thread Group 1-33,text,true,,136522,216,100,100,http://127.0.0.1:5000/api/Users/,1713,0,2
